feature,mean_within_date_std,p10_within_date_std,p50_within_date_std,p90_within_date_std,nonzero_date_ratio,use_for_model
int_sector_beta_hinge_neg_us_smallcap_return_k2_0_beta120,4.977506994685947e-06,0.0,0.0,0.0,0.03401878649403402,False
int_sector_beta_hinge_neg_us_smallcap_return_k2_0_beta252,7.737531838825994e-06,0.0,0.0,0.0,0.0343846949327818,False
int_regime_signal_hinge_pos_vix_return_k1_0,0.0009413848710695496,0.0,0.0,0.0008554599978010364,0.12312769738512312,True
int_regime_signal_hinge_pos_realized_vol_20d_k1_0,0.0018034278692338258,0.0,0.0,0.004709956661370456,0.20512820512820512,True
int_regime_signal_hinge_pos_cross_sectional_dispersion_k1_0,0.001367470290814928,0.0,0.0,0.0018548633412967916,0.14380757420675538,True
int_regime_signal_hinge_pos_topix_intraday_vol_k1_0,0.0018034278692338258,0.0,0.0,0.004709956661370456,0.20512820512820512,True
int_regime_signal_hinge_neg_vix_return_k1_0,0.00043068757939302273,0.0,0.0,0.00024672359244144504,0.11221122112211221,True
int_regime_signal_hinge_neg_realized_vol_20d_k1_0,0.00033056165734110553,0.0,0.0,0.0012046324413325052,0.19243462807819242,True
int_regime_signal_hinge_neg_cross_sectional_dispersion_k1_0,0.00014968188610197343,0.0,0.0,0.00013176530883667804,0.10951893551688843,True
int_regime_signal_hinge_neg_topix_intraday_vol_k1_0,0.00033056165734110553,0.0,0.0,0.0012046324413325052,0.19243462807819242,True
int_regime_signal_hinge_pos_vix_return_k1_5,0.0006219801417545049,0.0,0.0,0.0,0.07083015993907082,False
int_regime_signal_hinge_pos_realized_vol_20d_k1_5,0.0012311281316847605,0.0,0.0,0.002179765849519688,0.14343742066514345,True
int_regime_signal_hinge_pos_cross_sectional_dispersion_k1_5,0.0009646219000378788,0.0,0.0,0.0,0.08674513817809622,False
int_regime_signal_hinge_pos_topix_intraday_vol_k1_5,0.0012311281316847605,0.0,0.0,0.002179765849519688,0.14343742066514345,True
int_regime_signal_hinge_neg_vix_return_k1_5,0.00020263856771461658,0.0,0.0,0.0,0.0462046204620462,False
int_regime_signal_hinge_neg_realized_vol_20d_k1_5,7.876592019860593e-05,0.0,0.0,0.0,0.06296014216806296,False
int_regime_signal_hinge_neg_cross_sectional_dispersion_k1_5,2.894443735497181e-05,0.0,0.0,0.0,0.02302968270214944,False
int_regime_signal_hinge_neg_topix_intraday_vol_k1_5,7.876592019860593e-05,0.0,0.0,0.0,0.06296014216806296,False
int_regime_signal_hinge_pos_vix_return_k2_0,0.0004035920937723863,0.0,0.0,0.0,0.03858847423203859,False
int_regime_signal_hinge_pos_realized_vol_20d_k2_0,0.0008168880342518217,0.0,0.0,0.0,0.09494795633409495,False
