trade_date,beta_exposure,gross_exposure,net_exposure,strategy_return
2014-12-05,0.09598533085093769,2.0,0.0,0.0029183822853115584
2014-12-08,0.14332217627571842,2.0,0.0,0.0057966889558644305
2014-12-09,0.36974343238972124,2.0,1.1102230246251565e-16,0.007288919951958249
2014-12-10,-0.521019854491886,2.0,-2.7755575615628914e-17,0.0071044453474131165
2014-12-11,0.32694642557071846,2.0,2.7755575615628914e-17,0.0647215399257899
2014-12-12,0.2569481087000862,2.0,0.0,0.008245890449526642
2014-12-15,0.051546476724619886,2.0,1.3877787807814457e-17,-0.005039480366748484
2014-12-16,-0.06533785508141032,2.0,2.7755575615628914e-17,0.0018237000860608912
2014-12-17,0.2203594919547434,2.0,-2.7755575615628914e-17,0.007448941099792446
2014-12-18,0.23234944710211386,2.0,0.0,-0.004235846690342631
2014-12-19,-0.1674912108885989,2.0,-4.163336342344337e-17,0.005452633768618099
2014-12-22,-0.19011279235035022,2.0,-2.7755575615628914e-17,-0.01158508331778158
2014-12-24,-0.1506537365707253,2.0,0.0,0.012221070643763593
2014-12-25,-0.17651268176591572,2.0,0.0,0.004223908348831825
2014-12-29,0.06772590595725808,2.0,4.163336342344337e-17,0.005911028589114273
2014-12-30,-0.3372965912197272,2.0,0.0,0.005407651849577786
2015-01-05,-0.5341444390703945,2.0,0.0,0.0018543222056606255
2015-01-06,0.47397221316819593,1.9999999999999998,-2.7755575615628914e-17,-0.001801893017059044
2015-01-07,0.23864906628752847,2.0,-2.7755575615628914e-17,0.008496824658279244
2015-01-08,0.24193180221748695,2.0,-2.7755575615628914e-17,0.007949367342165246
2015-01-09,-0.3113439593424081,2.0,-5.551115123125783e-17,0.010383871755877282
2015-01-13,0.06685436215144092,2.0,2.7755575615628914e-17,0.008205061710126563
2015-01-14,-0.11528180772898697,2.0,-5.551115123125783e-17,0.00823497482818001
2015-01-15,0.25188933555786963,2.0,0.0,0.00018868102960397097
2015-01-16,-0.04142024964120586,2.0,2.7755575615628914e-17,-0.003554693091536111
2015-01-19,-0.26554002280751515,1.9999999999999998,6.245004513516506e-17,0.0008229898497626672
2015-01-21,0.05532558459653886,2.0,0.0,-0.0005130595905022553
2015-01-22,0.4360858447444871,2.0,0.0,0.0042646921516612205
2015-01-23,-0.21132005039331855,2.0,0.0,0.0073992636636808235
2015-01-26,-0.2259182629855686,2.0,1.1102230246251565e-16,0.004682648243165288
2015-01-27,-0.037435928801040935,2.0,2.7755575615628914e-17,0.009383304270950018
2015-01-28,0.18499321790335765,2.0,0.0,0.00048213192942675703
2015-01-29,-0.03805684754287465,2.0,0.0,0.00038441088317032383
2015-01-30,-0.20799908524857041,2.0,-5.551115123125783e-17,0.004071843724457826
2015-02-02,-0.03566459074508803,2.0,0.0,0.006901991539068908
2015-02-03,0.32016844048905524,2.0,5.551115123125783e-17,0.01611590583302997
2015-02-04,-0.36331251095884953,2.0,-2.7755575615628914e-17,0.010605106603967513
2015-02-05,-0.2020626911612696,2.0,8.326672684688674e-17,0.0073646423701624105
2015-02-06,-0.36431353071690564,2.0,8.326672684688674e-17,0.003807557146159529
2015-02-09,-0.32911132540394156,1.9999999999999998,6.245004513516506e-17,0.0067119475992856534
2015-02-10,-0.06531373645501974,2.0,8.326672684688674e-17,-0.001841095859859132
2015-02-12,-0.38567041111161915,2.0,0.0,-0.004108072369031018
2015-02-13,-0.08761505968208766,2.0,0.0,0.005261102161618682
2015-02-16,-0.2576235656189551,2.0000000000000004,2.7755575615628914e-17,0.004364519883117812
2015-02-18,-0.15007317931022246,2.0,2.220446049250313e-16,0.0035277800039844086
2015-02-19,0.19665117080341876,2.0,-5.551115123125783e-17,0.005362300585687261
2015-02-20,-0.1299215516534753,2.0,0.0,0.00500813906421871
2015-02-23,-0.0837852407108739,2.0,5.551115123125783e-17,0.0049015258914515405
2015-02-24,-0.01399924225092919,2.0,-1.1102230246251565e-16,0.005814005396196302
2015-02-25,0.13444118146926617,2.0,0.0,0.02362704794194897
2015-02-26,0.15993318689405017,2.0,1.3877787807814457e-17,0.00847034227544717
2015-02-27,0.32925571854674207,2.0,0.0,0.00672615983014385
2015-03-02,0.0039862525407046295,2.0,-2.7755575615628914e-17,0.00773842863352064
2015-03-03,-0.2097170459653938,1.9999999999999998,-1.1102230246251565e-16,0.009611469188424105
2015-03-04,0.25606657320691395,2.0000000000000004,5.551115123125783e-17,0.0030703361158108495
2015-03-05,0.04040426343607123,1.9999999999999998,0.0,-0.0020382860499683774
2015-03-06,0.10837157814628576,2.0,0.0,0.008092905810967607
2015-03-09,0.12700204970604184,2.0,2.7755575615628914e-17,0.005959251160589555
2015-03-10,0.12544366426340312,2.0,-5.551115123125783e-17,0.009234119926197411
2015-03-11,-0.05198210199601827,2.0,0.0,0.004156849837844002
2015-03-12,-0.1079218071563191,2.0,8.326672684688674e-17,0.00351806863733931
2015-03-13,-0.19814510061666468,2.0,-5.551115123125783e-17,0.0023792281226366913
2015-03-16,0.020716363932085147,2.0,-1.3877787807814457e-17,-0.004631431814085289
2015-03-17,-0.15649668621647062,2.0,0.0,0.0062394783917809025
2015-03-18,-0.2836450294957047,2.0,-5.551115123125783e-17,0.004468165420446153
2015-03-19,-0.004434394805625408,2.0,-2.7755575615628914e-17,0.013433640718985162
2015-03-20,0.33775022182162107,2.0,-2.7755575615628914e-17,0.006424273047743819
2015-03-23,-0.29050018371548875,2.0,1.1102230246251565e-16,0.009988652892472557
2015-03-24,-0.052619816723381466,1.9999999999999998,-6.938893903907228e-17,0.00854184534487471
2015-03-25,-0.28908139899623303,1.9999999999999998,-4.163336342344337e-17,0.004529948868464789
2015-03-26,0.007470712604720847,1.9999999999999998,0.0,0.009373778883844244
2015-03-27,0.012644242190055305,2.0000000000000004,-2.7755575615628914e-17,0.014375941087455211
2015-03-30,-0.30202922878753474,2.0,0.0,-0.002131656022364669
2015-03-31,-0.13508813562060445,1.9999999999999998,1.3877787807814457e-17,0.007907148454407341
2015-04-01,-0.43095503066771046,2.0,1.1102230246251565e-16,0.00648427760204349
2015-04-02,0.36667900826045124,2.0,2.7755575615628914e-17,0.019731790470433115
2015-04-03,-0.03459698828383481,2.0,0.0,0.00411907971830248
2015-04-07,-0.07691502308589832,2.0,0.0,0.012541277291544793
2015-04-08,-0.10902226422258021,2.0,2.7755575615628914e-17,0.0021016624787848727
2015-04-09,-0.27482491314203367,2.0,0.0,0.008539760890463769
2015-04-10,-0.3298308885935575,2.0,-2.7755575615628914e-17,0.006655839222343278
2015-04-13,0.15343701137297366,2.0,0.0,0.00606111363075008
2015-04-14,-0.11242587843504293,2.0,2.7755575615628914e-17,0.007721015730583763
2015-04-15,-0.00576736256251574,1.9999999999999998,1.3877787807814457e-17,0.009067405027342127
2015-04-16,-0.3324393414063933,2.0,8.326672684688674e-17,0.014281563466183879
2015-04-17,-0.4992209479086063,2.0,-5.551115123125783e-17,0.002788863010282414
2015-04-20,-0.013772618935700282,2.0,-2.7755575615628914e-17,0.01109458964787077
2015-04-21,-0.019815169183699827,2.0,-4.163336342344337e-17,0.005955557778165397
2015-04-22,-0.13934341746641762,2.0,0.0,-0.00563022233713064
2015-04-23,0.3792415599769316,2.0,2.7755575615628914e-17,0.00543284532612916
2015-04-24,-0.5917012795007981,2.0,5.551115123125783e-17,0.00679503609718442
2015-04-27,0.5910582793485141,1.9999999999999998,5.551115123125783e-17,-0.001166472599068255
2015-04-28,0.2073407379115461,1.9999999999999998,5.551115123125783e-17,0.011249586247338215
2015-04-30,0.38103821833075396,2.0,5.551115123125783e-17,0.018261461607536646
2015-05-01,0.30024349640160297,2.0,2.7755575615628914e-17,-0.0022532442407692593
2015-05-07,-0.0631094732817829,2.0,-1.3877787807814457e-17,0.00023804146396700352
2015-05-08,-0.16011206677695777,2.0,0.0,0.015707310953474822
2015-05-11,0.16260731401227402,2.0,0.0,0.02042486669225916
2015-05-12,0.3668070723315208,2.0,2.7755575615628914e-17,-0.0010658655648685806
2015-05-13,0.22789702449246751,2.0,2.7755575615628914e-17,-0.0018007393310718268
2015-05-14,0.24294137735322058,2.0,-2.7755575615628914e-17,0.0032168847600795147
2015-05-15,-0.13875514316218815,2.0,0.0,0.011369619888012026
2015-05-18,-0.4064573797050172,2.0000000000000004,-1.1102230246251565e-16,0.016067329913555764
2015-05-19,0.3878217952164175,2.0,1.3877787807814457e-16,0.0070233622616854875
2015-05-20,0.12134296267836578,2.0,-2.7755575615628914e-17,0.011032548698796333
2015-05-21,0.12333264065001714,2.0,1.3877787807814457e-17,0.0012486344402093473
